Complexity,Loss,Equation
1,0.1868919,"x1"
3,0.17070112,"x1 * 1.101396"
5,0.07938968,"(x0 * 0.07474758) + x1"
7,0.0036974202,"((x0 + 5.8610263) * 0.12040316) * x1"
9,9.902771e-5,"x1 * ((-30.269106 / (x0 + 13.159881)) - -2.9954207)"
11,9.8847944e-5,"x1 / ((-1.7844449 / ((x0 / -1.8987237) + -1.6135377)) + 0.33250743)"
13,4.3867035e-6,"(((x0 * 0.06508959) + 1.2901074) + (-2.9644105 / (x0 + 5.0821495))) * x1"
15,4.351879e-6,"(x1 * ((-2.9638948 / (x0 + 5.082169)) + ((x0 * 0.065101765) + 1.2903396))) + -0.0004702498"
17,4.2918628e-6,"x1 * (((x0 * 0.064815916) + (-3.0128872 / ((x1 * 0.008667252) + (x0 + 5.105842)))) + 1.2952514)"
19,4.2913566e-6,"(x1 * ((-3.0136392 / ((x0 + 5.1052833) + (x1 * 0.0092159845))) + ((x0 * 0.06480588) + 1.2953093))) - -8.2164006e-5"
21,1.0791471e-6,"(x1 / -0.78768635) / ((0.99643385 / (-1.392489 + (-0.17388685 * x0))) + ((0.9958599 / ((-0.5433781 * x0) + -1.2268268)) + -0.2666133))"
23,1.0575494e-6,"((x1 / -0.78754234) / (((0.9958467 / ((x0 * -0.5433149) + -1.2268584)) + (0.9964475 / ((x0 * -0.17363442) + -1.3921959))) + -0.2663084)) + -0.0002922718"
25,1.0556628e-6,"((x1 / (((0.9972326 / ((x0 * -0.54235464) + -1.2264577)) + (0.997295 / (((x0 + -0.3029302) * -0.17539813) + -1.4541776))) + -0.26811457)) * -1.2691085) + -0.00031768752"
