Complexity,Loss,Equation
1,0.17538753,"x1"
3,0.16279697,"x1 / 0.91589415"
5,0.07596597,"(x0 * 0.07097912) + x1"
7,0.0036535168,"(x1 * (x0 + 5.9758224)) * 0.11892686"
8,9.1151554e-7,"sqrt((x0 * 0.24999858) + 0.4999771) * x1"
10,8.9452874e-7,"(x1 * sqrt((x0 * 0.25006622) + 0.5002926)) + -0.0003186927"
12,8.831389e-7,"x1 * (sqrt((x0 * 0.24987023) + 0.4993214) + (x1 * 0.00033226883))"
14,8.829705e-7,"x1 * (((x1 - 0.27112737) * 0.00035583758) + sqrt((x0 * 0.24988866) + 0.49938983))"
16,8.823217e-7,"x1 * (sqrt((x0 * 0.24987136) + 0.49932575) + (((0.0062878863 / x0) + x1) * 0.00032672202))"
18,8.5178e-7,"sqrt((-0.00068448513 / ((0.04296483 / (x0 + -1.6682546)) + x1)) + ((x0 * 0.24999918) + 0.5005229)) * x1"
22,8.3742077e-7,"sqrt((0.5005475 + (-0.0007747896 / (x1 + ((-0.03103367 / (-1.5612384 + x0)) / (x1 * 1.474862))))) + (0.25000602 * x0)) * x1"
25,8.2837664e-7,"sqrt(((0.25000817 * x0) + 0.5005475) + (-0.0007747896 / (((-0.03103367 / (-1.5612384 + x0)) / sqrt((x1 + x1) * x1)) + x1))) * x1"
26,8.195815e-7,"sqrt(((x0 * 0.25000602) + 0.5007077) + (-0.0010211021 / (((0.03681616 / (x0 + 0.9898276)) / (x1 * (0.672442 - (x0 * 0.4400232)))) + x1))) * x1"
28,8.1917096e-7,"x1 * sqrt((-0.0010214886 / ((0.036816332 / (((x0 + 0.9898276) * (x1 * (0.67244136 - (x0 * 0.44004107)))) * 0.95855397)) + x1)) + ((x0 * 0.25000477) + 0.5007072))"
30,8.17812e-7,"x1 * sqrt((-0.0010274474 / ((((0.036817808 / (x0 + 0.9898276)) / ((0.67243785 - (x0 * 0.4401065)) * (x1 / 1.0466437))) + x1) - -0.026988251)) + ((x0 * 0.2500035) + 0.50070214))"
