Complexity,Loss,Equation
1,0.17482495,"x1"
3,0.15608147,"x1 * 1.1104692"
5,0.0729515,"(x0 * 0.07257493) + x1"
7,0.0059010903,"(0.7217521 - (x0 * -0.117172)) * x1"
9,0.0025031702,"x1 / ((-3.143661 / (-2.9239392 - x0)) - -0.3532434)"
11,0.002425455,"(x1 + -0.016781705) / ((-3.1448808 / (-2.9434862 - x0)) - -0.3457843)"
13,0.0023835155,"((x1 * (-3.1527123 - x0)) + 0.13143931) / ((x0 * -0.33688825) + -4.3689914)"
15,0.002376993,"(((x1 / ((x0 * -0.34273005) + -4.3678384)) - 0.00351983) * (-3.1725123 - x0)) - 0.047181644"
17,0.0023684192,"(x1 * (-2.9536915 - x0)) / (((x0 * -0.325122) + -4.4980764) + (x1 / (x0 + 5.4454484)))"
19,0.0023166568,"((-3.1686833 - x0) * (x1 / ((-4.4156814 + (x0 * -0.32913935)) - (-0.013027375 / (x0 + 0.5900669))))) - 0.02423994"
21,0.0022637355,"((x1 / ((x0 * -0.3312059) + -4.378384)) * ((-3.1285553 - x0) + (-0.017537799 / (x1 + (x0 - 0.19032128))))) - 0.023083374"
25,0.0022563147,"((-3.1113694 - x0) * ((x1 / ((((x0 + (-0.07994508 / (x0 - (0.18505216 - x1)))) + -0.34595296) * -0.34371215) + -4.437508)) - 0.0026787582)) - 0.040620733"
27,0.0022530553,"((-3.0892215 - x0) * ((x1 / (((x0 + ((x1 * (-0.10253564 / (x0 - (0.18592662 - x1)))) + -0.34157366)) * -0.34157366) + -4.4383793)) - 0.00223051)) - 0.035535958"
29,0.0022526886,"((-3.0891633 - x0) * ((x1 / ((((x0 + ((-0.103953116 * x1) / (x0 - ((0.19522248 - x1) * 1.0176134)))) + -0.3414727) * -0.34147525) + -4.4382777)) - 0.0021961934)) - 0.035397563"
