Complexity,Loss,Equation
1,0.1771485,"x1"
3,0.16469707,"x1 * 1.0913457"
5,0.079485185,"(x0 * 0.070349045) + x1"
7,0.0061703497,"((x0 * 0.11869313) + 0.7109252) * x1"
9,0.0024305421,"x1 * (2.9229884 + (28.00495 / (-12.572957 - x0)))"
11,0.0023836747,"(x1 * ((28.79562 / (-12.773582 - x0)) + 2.9619389)) + -0.016680397"
13,0.0022849715,"((x0 + 2.32332) * x1) * ((-1.0565273 / (-4.464779 - x0)) - -0.06857048)"
15,0.0022394285,"((((-1.0583603 / (-4.4625845 - x0)) - -0.06931841) * x1) * (x0 + 2.352405)) + -0.016489187"
17,0.0022137428,"((x0 + 2.3973198) * x1) * ((-1.0888953 / (((x1 * 0.20246308) - x0) + -5.0854907)) - -0.06718354)"
19,0.0022134853,"((x0 + 2.3844593) * (x1 * ((-1.0864626 / ((-5.0883875 - x0) + (x1 * 0.22191904))) - -0.06715614))) - -0.0028560366"
21,0.0022002556,"x1 * ((((-0.09372277 / (x0 + 2.58353)) + (((x1 * -0.15651418) - x0) / (-25.768087 - x0))) + 0.24076572) * 3.3195574)"
23,0.0021744743,"(x1 * (((((0.0025158753 / (x0 + -0.80935156)) - x0) / (-25.773592 - x0)) + 0.25244808) - (0.09231518 / (x0 + 2.533771)))) * 3.284944"
25,0.0021486192,"((((((0.002513269 / (x0 + -0.8093246)) - x0) / ((-27.224913 - x0) + x1)) - (0.09258915 / (x0 + 2.533771))) + 0.25246218) * 3.2849457) * x1"
27,0.002148619,"((((((0.002513269 / (x0 + -0.8093246)) - x0) / (((0.09258915 - x0) + -27.317501) + x1)) - (0.09258915 / (x0 + 2.533771))) + 0.25246218) * 3.2849457) * x1"
29,0.0021336537,"x1 * (((((((0.002513269 / (0.18128417 + x0)) / (-0.8093246 + x0)) - x0) / ((-27.224913 - x0) + x1)) - (0.09258915 / (x0 + 2.533771))) + 0.25246218) * 3.2849457)"
