Complexity,Loss,Equation
1,0.18230602,"x1"
3,0.16553672,"x1 * 1.1061698"
5,0.078949496,"x1 + (x0 * 0.073201895)"
7,0.006413889,"(x1 * 0.11833318) * (x0 + 6.012472)"
9,0.0025661953,"((-27.349247 / (x0 + 12.429173)) + 2.8983376) * x1"
11,0.0024829903,"(x1 * ((-27.871431 / (x0 + 12.567392)) + 2.932078)) - 0.022076536"
13,0.0024522452,"((-28.226917 / (x0 + 12.657112)) - ((x1 * -0.02353355) + -2.8927848)) * x1"
15,0.0023688723,"(x1 * ((((0.5497051 / (x0 + 4.741225)) + 0.065451294) * x0) + 0.72770816)) - 0.022530913"
17,0.0023466875,"x1 * (((((0.56479317 / (x0 + 4.8730483)) + 0.06493648) * x0) - (x1 * -0.023093741)) + 0.6756301)"
19,0.0023466863,"x1 * ((x1 + 0.6756338) + ((((0.5647989 / (x0 + 4.8729634)) + 0.06493544) * x0) - (x1 * 0.97690916)))"
21,0.0023461066,"(x1 * ((x0 * ((0.56515473 / (x0 + 4.872921)) + 0.064887896)) + ((x1 + 0.68239295) - (x1 * 0.97965807)))) + -0.003532794"
23,0.0022799992,"(x1 * ((((x0 * 0.7374437) / ((x0 - -5.8839784) + (-0.043965846 / (x0 - 0.808017)))) + 0.72404647) + (x0 * 0.05515268))) - 0.021814598"
25,0.0022591415,"((((x0 * 0.05515268) + ((0.7374437 / (((0.038739737 / (x1 - (x0 / 0.90243137))) + x0) - -5.8839784)) * x0)) + 0.72404647) * x1) - 0.022143701"
27,0.0022045972,"(x1 * (((x0 * 0.055074457) + 0.72376543) + ((0.7376918 / (x0 + (5.8402934 - ((-0.036580954 / (x0 + -0.8046437)) / (0.47685954 - x1))))) * x0))) - 0.021814598"
29,0.0022041262,"(x1 * ((x0 * 0.05507445) + ((x0 * (0.7366451 / ((x0 + 5.837043) - (((-0.043593433 / (x0 + -0.80464375)) / (0.47685957 - x1)) / 1.1496804)))) + 0.72376543))) - 0.021814598"
