Complexity,Loss,Equation
1,0.17482495,"x1"
3,0.15608147,"x1 * 1.1104692"
5,0.0729515,"x1 - (x0 * -0.07255321)"
7,0.0059010885,"(x1 * 0.11716814) * (x0 + 6.1601124)"
8,0.00240112,"(sqrt(x0 + 2.0098171) * 0.5002511) * x1"
10,0.0023077147,"(sqrt((x0 * 0.25473213) + 0.52688646) * x1) - 0.023551403"
12,0.0022992315,"((sqrt((x0 * 0.24440455) + 0.47305027) + 0.039748166) * x1) + -0.023501793"
14,0.0022951625,"(x1 * ((x1 * 0.011206893) + sqrt((x0 * 0.24839021) + 0.4930845))) - 0.012986081"
15,0.002294611,"(((sqrt(x1) * 0.022688411) + sqrt((x0 * 0.24567047) + 0.47941092)) * x1) - 0.013492037"
16,0.0022943246,"((sqrt((x0 * 0.24725357) + 0.4943105) + (x1 * 0.011575279)) * (x1 - -0.005941792)) - 0.01937733"
17,0.002293054,"((x1 - -0.009627944) * (sqrt((x0 * 0.24347173) + 0.47946003) + (sqrt(x1) * 0.024442181))) - 0.02359335"
19,0.0022930333,"((((sqrt(x1) + 0.045617502) * 0.023938917) + sqrt((x0 * 0.24336804) + 0.47906324)) * (x1 - -0.009643471)) - 0.023799405"
20,0.0022087756,"x1 * sqrt((((-0.725978 / ((0.057509933 / (x0 + -0.85118467)) + (x1 + 1.0703391))) + x0) * 0.24931361) + 0.5783429)"
21,0.0022086827,"x1 * sqrt(0.5783429 + (0.24931361 * ((-0.725978 / (sqrt(1.1210004) + ((0.057509933 / (x0 + -0.85118467)) + x1))) + x0)))"
22,0.0022006608,"sqrt((((-0.72602767 / ((x1 + (0.05519514 / (x0 + -0.8493604))) + 1.0751392)) + x0) * 0.25147778) + 0.5815279) * (x1 - 0.0046336753)"
24,0.0021952162,"(x1 - 0.008286869) * sqrt(1.3047307 + ((x0 + ((-0.6434677 / (((0.059566934 / (-0.85083634 + x0)) + 1.0873505) + x1)) + -2.8834505)) * 0.25253496))"
26,0.0021936072,"(x1 - 0.008777941) * sqrt((((-0.6432053 / ((x1 + 1.1020756) + ((x0 / (x0 + -0.84902865)) * 0.07049491))) + (x0 + -2.8838472)) * 0.25296837) + 1.3043796)"
28,0.002174728,"(x1 - 0.004229981) * sqrt((((x0 + -2.8832278) + (-0.78959036 / ((0.045446474 / (x0 + ((x1 + 0.34390268) * -0.67956))) + (x1 + 1.1618447)))) * 0.25106603) + 1.3093584)"
