Complexity,Loss,Equation
1,0.18494107,"x1"
3,0.16868798,"x1 / 0.9077477"
5,0.08075086,"(x0 * 0.07358633) + x1"
7,0.00618183,"(x1 * (x0 - -5.988472)) * 0.11877246"
8,0.0022431705,"x1 * sqrt((x0 * 0.2476621) - -0.5053635)"
10,0.0021974004,"(x1 - 0.014162354) * sqrt((x0 * 0.25298578) - -0.5158429)"
12,0.0021789642,"((sqrt((x0 * 0.2347733) - -0.44147053) - -0.061955903) * x1) + -0.017181747"
13,0.0021773374,"((sqrt(x1) * 0.035057362) + sqrt((x0 * 0.23656686) - -0.4499459)) * x1"
15,0.0021097267,"x1 * (sqrt((x0 * 0.24766722) - -0.5053696) - (-0.00025741686 / (0.8699251 - sqrt(x1))))"
16,0.0020631577,"sqrt((x0 * 0.25238514) - -0.51456785) * (x1 + ((-0.00046389332 / (x1 - 0.7568412)) - 0.01203076))"
17,0.0020583114,"(sqrt((x0 * 0.2523852) - -0.514568) * (x1 - 0.012769604)) - (-0.00019218952 / (0.8698599 - sqrt(x1)))"
19,0.0020581952,"(sqrt(((x0 + 0.008095611) * 0.2523358) - -0.51452696) * (x1 - 0.012876103)) - (-0.00019344184 / (0.869901 - sqrt(x1)))"
21,0.0020578962,"sqrt((x0 * 0.25383955) - -0.5174769) * (x1 - (0.016297046 - ((0.0003859843 / x1) * (0.5439967 / (0.8699272 - sqrt(x1))))))"
23,0.0020163164,"(x1 - 0.0120330155) * (sqrt((0.2523852 * x0) - -0.514568) - ((-0.0002995177 / (0.86986053 - sqrt(x1))) / (x1 + (x1 - 0.42601076))))"
25,0.0020155576,"(sqrt((x0 * 0.252385) - -0.514568) * (x1 - 0.012033361)) - (-0.00029680063 / ((0.8698607 - sqrt(x1)) / (x1 / (x1 + (x1 - 0.426006)))))"
26,0.0019999149,"(x1 - 0.011072855) * sqrt((0.25237995 * x0) - (-0.5126022 - ((0.00020297858 / (0.8699251 - sqrt(x1))) / ((0.9096925 + (sqrt(x1) - x0)) * 0.38431507))))"
28,0.0019921998,"(x1 - 0.012065023) * sqrt((0.25237995 * x0) - (-0.5126022 - ((0.00020297858 / (0.8699251 - sqrt(x1))) / ((x1 * 0.5192562) * (0.9096925 + (sqrt(x1) - x0))))))"
