Complexity,Loss,Equation
1,0.18019873,"x1"
3,0.16932838,"x1 * 1.0852438"
5,0.08167114,"x1 - (x0 * -0.07291433)"
7,0.006128459,"(x1 * (x0 + 5.959219)) * 0.11891321"
8,0.002317216,"(sqrt(x0 + 2.0108352) * x1) * 0.49901333"
10,0.0022672925,"sqrt(x0 + 2.009661) * (-0.0074507245 - (x1 * -0.5046606))"
12,0.002231736,"((x1 * 0.018693857) - (sqrt(x0 + 1.9205656) * -0.49168992)) * x1"
14,0.002231663,"(x1 * -0.4908854) * (((x1 + 0.17402275) * -0.03767534) - sqrt(x0 + 1.911524))"
15,0.0022313474,"((-0.017942714 - (sqrt(x1) * -0.0412577)) - (sqrt(x0 + 1.9081326) * -0.4905558)) * x1"
16,0.002231339,"((x1 * ((x1 * -0.002826537) - -0.025991827)) - (sqrt(x0 + 1.9077922) * -0.4905237)) * x1"
17,0.0022307667,"(((-0.026390558 - (sqrt(x1) * -0.04682485)) - (sqrt(x0 + 1.9056693) * -0.49035877)) * x1) - -0.00331948"
18,0.0021551242,"x1 * (sqrt(x0 + 2.009138) * ((((0.045230288 / (0.8153963 - x0)) - x1) * -0.008810675) - -0.48619747))"
20,0.0021551095,"((((0.045230288 / (0.8153963 - x0)) - (1.0111498 * x1)) * -0.008713521) - -0.48619747) * (sqrt(x0 + 2.009138) * x1)"
22,0.002117214,"((((0.11005135 / ((x1 + -0.21248603) - (x0 * 0.7922168))) - x1) * -0.018677445) - (sqrt(x0 + 1.9263732) * -0.49114674)) * x1"
26,0.00210678,"(sqrt(x0 + 2.009202) * ((((0.018179392 - (x1 / -2.6183028)) - (-0.0403492 / (x1 * ((-1.7160527 + x0) + x1)))) * 0.020763773) - -0.48685855)) * x1"
28,0.0020757294,"x1 * (sqrt(x0 + 2.00939) * ((((0.029542772 - (x1 / -2.6182997)) - (-0.038646687 / (x1 * ((x1 + (x0 + -1.7181369)) * x1)))) * 0.01980983) - -0.48731056))"
30,0.002066619,"(x1 * ((((0.021635326 - (x1 / -2.6181562)) - (-0.041181058 / ((((x1 + x0) + -1.7169626) * (x1 * x1)) + -0.0027978641))) * 0.021635326) - -0.48620304)) * sqrt(x0 + 2.0087428)"
