Complexity,Loss,Equation
1,0.1771485,"x1"
3,0.16469707,"x1 * 1.0913459"
5,0.079485185,"x1 - (x0 * -0.070349045)"
7,0.0061703497,"(x1 * 0.11869556) * (x0 + 5.9893856)"
8,0.002278838,"x1 * (sqrt(x0 + 1.9963303) * 0.4999088)"
10,0.002236177,"(sqrt((x0 * 0.2531654) + 0.5147695) * x1) + -0.015965376"
12,0.0022077349,"((x1 * 0.016918954) + sqrt((x0 * 0.24333033) + 0.466022)) * x1"
14,0.0022070126,"(((x1 * 0.0177963) + sqrt((x0 * 0.24610208) + 0.47925833)) + -0.011634922) * x1"
16,0.002204954,"x1 * ((((0.004614352 / x0) + x1) * 0.01717743) + sqrt((x0 * 0.24316049) + 0.46594664))"
18,0.0021266863,"sqrt(((((-0.026232123 / (x0 + -0.8146608)) - x1) * -0.03195142) + 0.4529522) + (0.24968027 * x0)) * x1"
20,0.0021264474,"sqrt(((((-0.026232123 / (x0 + -0.8146608)) - (x1 - -0.02106089)) * -0.03195142) + 0.4529522) + (0.24968027 * x0)) * x1"
21,0.0021246728,"x1 * sqrt(((((-0.0269083 / sqrt(x1)) / (x0 + -0.8148092)) - x1) * -0.03195291) + ((x0 * 0.2495124) + 0.45295447))"
22,0.002102764,"sqrt(((x0 * 0.24967994) + ((((-0.026899926 / (x0 + 0.06422729)) / (x0 + -0.8152645)) - x1) * -0.031947054)) + 0.4529556) * x1"
23,0.0020917316,"x1 * sqrt(0.46972257 + ((-0.022530673 * ((0.05296024 / (1.1665013 - ((x0 * 0.2646281) + sqrt(x1)))) - x1)) + (0.24857585 * x0)))"
24,0.0020827362,"sqrt((x0 * 0.24967994) + (((((-0.026899926 / (x0 + (-0.8152645 + x1))) / (x0 + -0.8152645)) - x1) * -0.031947054) + 0.4529556)) * x1"
26,0.0020626716,"x1 * sqrt(((((-0.027728973 / (x0 + -0.81487554)) - x1) + (0.0035782582 / ((x0 - x1) + -0.83082944))) * -0.031952895) + ((x0 * 0.24967998) + 0.45295572))"
28,0.0020619556,"sqrt(((x0 * 0.24967983) + (((((0.0037296757 / (((x0 + -0.83083326) - x1) * 1.4242208)) + -0.025305547) / (x0 + -0.8148092)) - x1) * -0.03195291)) + 0.45296246) * x1"
30,0.002034004,"x1 * sqrt((0.45227867 + (((((0.0037939043 / ((x0 + 0.069806926) * ((-0.83082324 - x1) + x0))) + -0.025298273) / (-0.815373 + x0)) - x1) * -0.03305132)) + (x0 * 0.24967974))"
