Complexity,Loss,Equation
1,0.18230602,"x1"
3,0.16553672,"x1 * 1.106152"
5,0.0789495,"(x0 * 0.07320985) + x1"
7,0.006413889,"x1 * ((-6.0126452 - x0) * -0.11833076)"
8,0.0024523858,"x1 * sqrt((x0 * 0.24917828) + 0.5021517)"
10,0.002374036,"(x1 * sqrt((x0 * 0.25331298) + 0.52397233)) - 0.021410638"
12,0.0023318639,"((x1 * 0.022570543) + sqrt((x0 * 0.24036935) + 0.45871285)) * x1"
14,0.0023313558,"(x1 * ((x1 * 0.020909494) + sqrt((x0 * 0.241534) + 0.46435416))) - 0.0026685328"
15,0.0023304757,"(((sqrt(x1) * 0.050383415) + sqrt((x0 * 0.2400964) + 0.45770922)) + -0.026430508) * x1"
16,0.0022692059,"sqrt((x0 * 0.25559098) + (0.5128241 - (-0.001080543 / (x1 + -0.91148573)))) * (x1 + -0.015984755)"
18,0.0022686173,"(x1 + -0.01598469) * sqrt((x0 * 0.25559002) + (0.5128247 - ((-0.0010059357 / (x1 + -0.91148496)) / x1)))"
20,0.0022480823,"sqrt(((x0 * 0.25702703) + ((-0.0018064795 / (x1 + -0.46610934)) / (x0 + -0.42867163))) - -0.51556647) * (x1 + -0.01913858)"
22,0.0022099067,"(-0.01913858 + x1) * sqrt((x0 * (0.25702703 + ((-0.0018064795 / (x1 + -0.46610934)) / (x0 + (x1 * x1))))) - -0.51556647)"
24,0.0021845188,"(x1 + -0.018041508) * sqrt((0.5165784 + ((x0 * 0.25702703) - (0.0016488407 / (1.3633834 - (1.4957877 * x1))))) - (0.002709173 / (-0.46340016 + x1)))"
26,0.0021815873,"(x1 + -0.018099338) * sqrt(((0.516427 + (x0 * 0.25536293)) - ((0.0018338218 / (x1 + -0.45914185)) / x1)) - (-0.0015944534 / ((x1 * 1.4953951) - 1.3638145)))"
28,0.0021457192,"sqrt((((x0 * 0.25702703) + 0.51492953) - (0.0016607855 / (1.3633834 - (x1 * 1.4957877)))) - ((0.0016607855 / (x1 + -0.46610934)) / (-0.43191296 + x0))) * (-0.01913858 + x1)"
30,0.0021444883,"sqrt(((x0 * 0.25702703) - ((0.0016607855 / (1.3633834 - (x1 * 1.4957877))) - (((-0.0018064795 / (x1 + -0.46610934)) / (x0 + -0.42943424)) - 0.0016607855))) + 0.5165784) * (x1 + -0.01913858)"
