method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_span_score,radical_in_discovery,radical_discovered_corr,radical_product_in_discovery,radical_product_discovered_corr,oracle_posthoc_radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,unstable_prediction_detected,unstable_prediction_fail,coordinate_recovery_fail,n_coordinates_pruned,best_discovered_expression,best_oracle_posthoc_abstraction,error
FASE,FASE_strict_A0,strict A0,False,42,50,0.0,,0.7993330515560018,0.08547943484321531,29.180932998657227,False,True,0.9999996700032757,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.0,,0.9937713966948406,0.0026532395818845787,45.65817189216614,True,True,0.9999999811315128,True,1.0,True,0.9863689844651714,True,True,False,False,False,False,0,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.001,,0.8363210880211083,0.06972962079505712,29.551969051361084,False,True,0.9999998570941941,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.001,,0.6049899770525782,0.1682800721080224,48.455353021621704,False,True,0.9999999757793125,True,1.0,True,0.9863689844651714,True,False,False,False,False,False,0,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.01,,0.9804952940582061,0.00831768793762781,30.161000967025757,True,True,0.9999996306073309,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.01,,0.9976062805403391,0.0010207901382929172,48.51101994514465,True,True,0.9999999977893376,True,1.0,True,0.9863689844651714,True,True,False,False,False,False,0,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.05,,0.9781359806101368,0.009407616630601716,29.98643708229065,True,True,0.9999907389275233,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.05,,0.9763068007668536,0.010194673319821976,45.419750928878784,True,True,0.9999999988552436,True,1.0,True,0.9863689844651714,True,True,False,False,False,False,0,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.1,,0.3784940116627147,0.2731382894472248,30.50551986694336,False,True,0.9999999608760357,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.1,,-15.595766548403777,7.293476446177858,48.322195291519165,False,True,0.9999999924507345,True,1.0,True,0.9863689844651714,True,False,False,True,False,False,1,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.2,,-2.197871610382171,1.5112215154018507,32.05005431175232,False,True,0.9999999486450505,False,0.0,False,0.0,False,False,True,False,False,,0,((x0*x0)*(x1+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.2,,0.850792101329283,0.07051133197687678,46.964383125305176,False,True,0.9999998318313644,True,0.9894387376251553,True,0.9521415592200384,False,False,False,True,False,False,8,(sqrt_pos(x0)*(x1*x1)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.0,,0.9979185748984927,0.0009230619859009071,31.87348484992981,True,True,0.9999995637108222,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,80,0.0,,0.9954001434894234,0.0020399257616510657,43.97028303146362,True,True,0.999999970837784,True,0.9942956892500363,True,0.982396665166106,True,True,False,False,False,False,0,(sqrt_pos((x0+0.5))*(x1+-0.5)),x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.001,,0.9979171261289845,0.000923535457509523,31.185261011123657,True,True,0.9999990922578503,False,0.0,False,0.0,True,False,True,False,False,,0,((x1+-1)*(x0+-2)),x1*sqrt_pos(2 + x0),
