method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_span_score,radical_in_discovery,radical_discovered_corr,radical_product_in_discovery,radical_product_discovered_corr,oracle_posthoc_radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,unstable_prediction_detected,unstable_prediction_fail,coordinate_recovery_fail,n_coordinates_pruned,best_discovered_expression,best_oracle_posthoc_abstraction,error
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,42,160,0.001,5,0.9999974878428096,1.3053971159417486e-06,594.972934961319,True,,,False,,,,,False,True,,,,,,,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,42,160,0.001,5,0.9999979785863844,1.050391079810653e-06,540.2188029289246,True,,,True,,,,,True,False,False,False,,,0.5000421*x1*sqrt(x0 + 1.9998693),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,42,160,0.05,5,0.994720132053733,0.0027634349064032697,844.73477602005,True,,,False,,,,,False,True,False,False,,,x1*(2.8671248 - 26.135231/(x0 + 12.042423)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,42,160,0.05,5,0.9949807875367016,0.002627010195120459,557.3195111751556,True,,,True,,,,,True,False,False,False,,,x1*sqrt(0.25215438*x0 + 0.5025793),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,42,320,0.001,5,0.9999975309723679,1.230150009289019e-06,883.8327610492706,True,,,False,,,,,False,True,False,False,,,x1*(-(-0.04797317)*x0 + 0.70712864 + 1.0469192/(1.327869/(x0 + 3.3711855) + (x0 + 8.137939)/x0)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,42,320,0.001,5,0.9999979224772222,1.0350895352775758e-06,601.1041531562805,True,,,True,,,,,True,False,False,False,,,0.49999142*x1*sqrt(x0 + 2.0000572),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,42,320,0.05,5,0.9946495069190779,0.002706685980660882,600.9594910144806,True,,,False,,,,,False,True,False,False,,,x1*(3.081039 - 33.099792/(x0 + 13.888714)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,42,320,0.05,5,0.9948848878664248,0.0025876124110547375,601.0536708831787,True,,,True,,,,,True,False,False,False,,,0.4996035*x1*sqrt(x0 + 2.0023334),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,1337,160,0.001,5,0.9999969444016913,1.628710412667166e-06,594.9082081317902,True,,,False,,,,,False,True,False,False,,,x1*(x0*(-0.0018845937*x0 + 0.10017821 + 0.27800962/(x0 + 3.6070774)) + 0.70772755),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,1337,160,0.001,5,0.9999982002462634,9.593138085717483e-07,548.6040940284729,True,,,True,,,,,True,False,False,False,,,x1*sqrt(0.24996439*x0 + 0.4999356),,
