task,expected_status,observed_status,status_correct,seed,train_size,corruption,active_budget,schema,train_accuracy,heldout_accuracy,perturbation_accuracy,equivariance_accuracy,stability,compression_ratio,complexity,false_promotion,false_abstention,elapsed_sec
algebra_distributivity,promoted,promoted,True,42,6,0.0,0,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,1.0,2.2325581395348837,13.5,False,False,0.2617957592010498
algebra_distributivity,promoted,promoted,True,42,6,0.0,16,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,0.6821705426356589,2.965034965034965,13.5,False,False,0.2915494441986084
algebra_distributivity,promoted,promoted,True,42,6,0.1,0,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",0.8333333333333334,1.0,1.0,1.0,1.0,2.0952380952380953,13.5,False,False,0.19188570976257324
algebra_distributivity,promoted,promoted,True,42,6,0.1,16,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",0.9545454545454546,1.0,1.0,1.0,0.6057692307692307,2.9166666666666665,13.5,False,False,0.2937777042388916
algebra_distributivity,promoted,promoted,True,42,12,0.0,0,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,0.9844961240310077,2.6666666666666665,13.5,False,False,0.23558354377746582
algebra_distributivity,promoted,promoted,True,42,12,0.0,16,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,0.7829457364341085,3.0532544378698225,13.5,False,False,0.2432541847229004
algebra_distributivity,promoted,promoted,True,42,12,0.1,0,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",0.9166666666666666,1.0,1.0,1.0,0.975,2.638888888888889,13.5,False,False,0.18269968032836914
algebra_distributivity,promoted,promoted,True,42,12,0.1,16,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",0.9642857142857143,1.0,1.0,1.0,0.6571428571428571,3.0609756097560976,13.5,False,False,0.21284031867980957
algebra_distributivity,promoted,promoted,True,42,24,0.0,0,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,0.9844961240310077,2.962962962962963,13.5,False,False,0.2245924472808838
algebra_distributivity,promoted,promoted,True,42,24,0.0,16,"Mul(?v0:Expr, Add(?v1:Expr, ?v2:Expr))  ->  Add(Mul(?v0:Expr, ?v1:Expr), Mul(?v0:Expr, ?v2:Expr))",1.0,1.0,1.0,1.0,0.937984496124031,3.1466666666666665,13.5,False,False,0.26933908462524414
