Complexity,Loss,Equation
1,8.863548,"x1"
3,6.0449276,"x1 - x0"
5,4.892388,"(x0 + x3) * -4.926274"
7,3.195131,"(x0 - (x3 * -0.76086456)) * -5.5952125"
9,2.0751343,"((x0 - (x3 * -0.72761315)) * -5.484758) + x1"
11,2.0692997,"((x1 * -0.1967927) + (x0 - (x3 * -0.72497463))) * -5.47562"
13,2.0362015,"(((x0 - (x3 * -0.7134403)) + (x2 * 0.039544675)) * -5.361824) + x1"
15,2.024418,"((((x1 + (x2 * -0.2073677)) * 0.20820831) + (x3 * -0.708254)) - x0) * 5.338804"
17,2.0242076,"((((((x2 * -0.20737654) + x1) - -0.013001284) * 0.20820339) - x0) + (x3 * -0.7082426)) * 5.3388944"
21,2.020453,"(((((x2 * ((x3 - -3.248128) * -0.06257137)) + (x1 - x3)) * 0.2080139) + (x3 * -0.50017464)) - x0) * 5.3457313"
22,2.0192893,"(5.336401 - (sin(x3) * -0.20420197)) * ((((x1 + (x2 * -0.21194157)) - x3) * 0.20809339) + ((x3 * -0.5004228) - x0))"
23,2.019165,"(5.3382626 - (sin(sin(x3)) * -0.23523298)) * ((((x2 * -0.21176083) + (x1 - x3)) * 0.20801648) + ((x3 * -0.5005518) - x0))"
24,2.0160248,"(x3 * -2.3760526) + ((((((x2 * -0.20550418) + x1) - x3) * 0.21529207) - x0) * (sin((x3 / x0) * 0.5162279) + 5.4557514))"
26,2.014367,"(x3 * -2.599738) + ((5.475686 + (sin(x3 / (0.72346586 * x0)) / 3.592816)) * ((((-0.2052066 * x2) + (x1 - x3)) * 0.2073399) - x0))"
28,2.0142164,"((x3 * -2.599738) + (((sin(x3 / (x0 * 0.72346586)) / 3.592816) + 5.475686) * ((((x2 * -0.2052066) + (x1 - x3)) * 0.2073399) - x0))) + 0.012323283"
30,2.0132365,"(x3 * 1.5451819) + ((((x2 * -0.0438384) - x3) + ((x1 * 0.20923345) - x0)) * ((sin(((x0 - (x0 / x3)) / x0) * 0.8962666) * -0.29332817) + 5.36982))"
