Complexity,Loss,Equation
1,8.765717,"x1"
3,5.936863,"x1 - x0"
5,4.9093103,"(x0 + x3) * -4.8955603"
6,4.65145,"(sin(x3) + x0) * -3.9323783"
7,3.194666,"((x3 * -0.75852823) - x0) * 5.5675073"
9,2.082445,"x1 + ((x3 * -3.939072) - (x0 * 5.449687))"
11,2.07687,"(x3 * -3.9174743) + ((x0 * -5.4407196) - (x1 * -1.0759867))"
13,2.0421844,"((x1 + (x0 * -5.3224845)) - (x3 * 3.7697523)) - (x2 * 0.21551959)"
15,2.0308626,"(x0 * -5.298917) + ((((x2 * -0.0626091) - x3) * 3.7245789) - (x1 * -1.1094947))"
17,2.0288913,"(((0.04438383 - (x3 * 3.7245576)) - (x0 * 5.2990026)) - (x1 * -1.1096572)) + (x2 * -0.2331741)"
18,2.0285804,"(((x3 * -3.7300048) - (x0 * 5.305047)) - (x1 * -1.2574247)) + ((x2 + sin(x1)) * -0.2320715)"
20,2.0115943,"((((x2 + sin(x0 * 4.2351675)) * -0.2152566) + (x3 * -3.7710164)) - (x0 * 5.3327203)) - (x1 * -1.1089339)"
21,2.0107074,"(((x0 * -5.310055) + ((x2 + sin(sin(x0 * 4.235987))) * -0.22581398)) - (x1 * -1.1086215)) + (x3 * -3.7419565)"
22,2.0089433,"((x3 * -3.750887) + (x0 * -5.316464)) + (((sin((x0 * -4.203214) - -9.757076) + x2) * -0.21745144) - (x1 * -1.1057607))"
23,2.0085733,"(((x3 * -3.7417836) + (x0 * -5.3101435)) + ((x2 + sin(sin((x0 * -4.19476) - -9.731843))) * -0.22782193)) - (x1 * -1.1080719)"
24,2.0038638,"(x3 * -3.7683148) + ((((sin((6.0345073 - x1) - (x0 * -4.2308517)) + x2) * -0.22631906) - (x1 * -1.0958949)) + (x0 * -5.339974))"
25,2.0000424,"(x0 * -5.339974) + (((x3 * -3.7683148) + ((x2 + sin((6.0345073 - sin(x1)) - (x0 * -4.2308517))) * -0.22631906)) - (x1 * -1.0958949))"
27,1.9980168,"(((0.027356653 - (x0 * 5.313581)) + ((x2 + sin((-0.39295644 - sin(x1)) - (x0 * -4.376352))) * -0.23333958)) + (x3 * -3.7424464)) - (x1 * -1.1084483)"
29,1.9954468,"(0.02011598 - ((x0 * 5.2932634) + (((sin(-0.92238617 - (x3 * -3.6870859)) + x2) - sin(x0 * -4.1313386)) * 0.20737971))) + ((x3 * -3.7365353) - (x1 * -1.1038389))"
