Complexity,Loss,Equation
1,8.74608,"x1"
3,5.984915,"x1 - x0"
5,4.846348,"(x3 + x0) * -4.855"
6,4.656598,"(sin(x3) + x0) * -3.937637"
7,3.2267003,"(x0 * -5.5086007) - (x3 * 4.201392)"
9,2.1058536,"(x1 + (x0 * -5.429364)) - (x3 * 3.9620347)"
11,2.1000216,"(x0 * -5.42337) - ((x3 * 3.9435892) - (x1 / 0.92807144))"
13,2.066221,"(((x2 * -0.214738) + (x0 * -5.3046746)) - (x3 * 3.7920446)) + x1"
15,2.0548666,"(x0 * -5.2861423) - (((x2 * 0.23167136) + (x3 * 3.752469)) - (x1 / 0.90148157))"
17,2.0499172,"(x0 * -5.2861767) - ((x2 * 0.2316915) + (((x3 * 3.7524645) + 0.070342496) - (x1 / 0.9014597)))"
20,2.0496783,"((x0 * -5.2867737) - (cos(x0) * 0.09047851)) - (((x3 * 3.3884296) + ((x2 * 0.2081652) - x1)) / 0.9025719)"
21,2.046749,"((-5.284517 * x0) - (sin(exp(x0)) * 0.20645294)) - (((3.3358004 * x3) + ((x2 * 0.20645294) - x1)) / 0.8932523)"
22,2.0466657,"((x0 * ((exp(x2) * 0.02894633) + -5.335613)) - (((x3 * 3.3806813) - x1) / 0.9004423)) + ((x2 + 0.28213352) * -0.22586897)"
24,2.0451188,"((x0 * -5.284517) - (cos(0.78279376) * (sin(exp(x0)) * 0.20645294))) - ((((3.3358004 * x3) + (0.20645294 * x2)) - x1) / 0.8932523)"
25,2.040841,"(x0 * ((sin(1.2935959 - cos(x0 * 1.70159)) * 0.6675955) + -5.8836403)) - (((x3 * 3.789307) + (x2 * 0.22411196)) - (x1 / 0.9002412))"
26,2.0389106,"(x0 * ((0.13965373 / (1.368749 - cos(x0 * -5.1877894))) + -5.441546)) - ((((x3 * 3.3842638) + ((x2 * 0.2069082) - x1)) / 0.90107024) - -0.07396042)"
28,2.0285604,"((cos(-0.56555253) + sin(x0 * 4.1164174)) * -0.21678518) + (((-5.3027816 * x0) - ((((x3 * 3.3863404) + (x2 * sin(0.20200302))) - x1) / 0.8987044)) - -0.07471678)"
