Complexity,Loss,Equation
1,8.861583,"x1"
3,6.04706,"x1 - x0"
5,4.9569087,"(x3 + x0) * -4.9330163"
6,4.716376,"(x0 + sin(x3)) * -3.9708052"
7,3.2648032,"((x0 * 1.3130736) + x3) * -4.2652917"
9,2.1090088,"(x1 - (x3 * 4.0078607)) - (5.505587 * x0)"
11,2.0999675,"((x3 * -3.982918) + (x0 * -5.496321)) - (x1 * -1.0965943)"
12,2.0997784,"((x0 - sin(x1 * 0.2032663)) * -5.495489) + (x3 * -3.9823718)"
13,2.0757802,"((x1 - (x2 * 0.19712798)) + (x0 * -5.3891816)) + (x3 * -3.8485117)"
15,2.0602038,"((x0 * -5.364576) + ((x3 + (x2 * 0.05747404)) * -3.7983973)) + (x1 * 1.1284026)"
16,2.0601141,"(x3 * -3.7980726) + (((x0 - sin(x1 * 0.2146923)) * -5.363777) - (x2 * 0.21797894))"
18,2.0600722,"((x3 * -3.7980752) + 0.0064915456) + (((x0 - sin(x1 * 0.21468882)) * -5.363786) - (x2 * 0.21797945))"
19,2.0591216,"((x0 - (x1 * 0.21468882)) * -5.363786) + ((x3 * (-3.7980752 + (-0.07181458 * x2))) - (x2 * 0.21797945))"
20,2.0580337,"(((x0 * -5.368264) + (exp(x3 * 0.19800676) * (x2 * -0.21400252))) + (x3 * -3.7984142)) - (x1 * -1.1286699)"
22,2.0573351,"(((x3 + (x2 * 0.07830317)) * -2.7975366) + (x0 * -5.365578)) - (exp(x2 * 0.03391845) * (x3 + (x1 * -1.1290843)))"
23,2.055176,"((x0 * -5.3640056) + (exp(cos(x0) * (x2 * 0.08139035)) * ((x2 * -0.22151482) - (x1 * -1.1283886)))) + (x3 * -3.7963018)"
24,2.0428717,"(sin(x0 * -4.1396923) * 0.18800347) + ((x0 * -5.1684556) + ((((x0 + x2) * -0.20767231) - (x3 * 3.815434)) + (x1 * 1.128103)))"
25,2.0421128,"(((x0 + x2) * -0.20704964) + ((sin(sin(x0 * -4.156264)) * 0.2189) + (x0 * -5.170314))) - ((x3 * 3.816696) + (x1 * -1.1278473))"
27,2.041763,"(x0 * -5.1723995) + ((sin(cos((x0 * -4.146197) + 4.8348436)) * 0.2216234) + (((x2 + x0) * -0.20637693) - ((x1 * -1.1288321) + (x3 * 3.817851))))"
28,2.0411625,"((x0 * -5.379102) + ((sin(sin(cos((x0 * -4.1380696) + 4.827216))) * 0.24769117) + (x2 * -0.20569772))) - (((x1 * -1.1279047) + 0.012162808) + (x3 * 3.8189662))"
30,2.0411615,"(((x0 * -5.174069) + (sin(sin(cos((x0 * -4.1356716) + 4.8223014))) * 0.24819885)) + ((x2 + x0) * -0.20550294)) - (((x1 * -1.1277952) + 0.012163633) + (x3 * 3.8195436))"
