Complexity,Loss,Equation
1,8.822545,"x1"
3,5.99459,"x1 - x0"
5,5.036907,"(x3 + x0) * -4.921526"
6,4.7670627,"(sin(x3) + x0) * -3.9483137"
7,3.2864292,"(x3 * -4.2430997) + (x0 * -5.600942)"
9,2.095126,"x1 + ((x0 + (x3 * 0.7255957)) * -5.5018973)"
11,2.0827482,"((x1 * 0.20267858) - (x0 + (x3 * 0.7219241))) * 5.490635"
13,2.0558307,"x1 + ((((x3 * 0.710916) + x0) * -5.3751) + (x2 * -0.2136285))"
15,2.055617,"(x1 + (((x0 + (x3 * 0.7109296)) * -5.3750763) + -0.014626122)) + (x2 * -0.21363652)"
17,2.0356052,"((x1 / 0.87250537) - (x0 * 4.342363)) - (x0 - ((x3 / -0.2659096) - (x2 * 0.23746867)))"
19,2.0353987,"(((-0.056515023 - x2) * 0.23857349) - (x0 - (x3 / -0.26607206))) + ((x1 / 0.87257516) - (x0 * 4.3400784))"
21,2.0166342,"(((x1 / 4.6737633) - x0) * 5.3849716) + ((x3 * -3.8104246) - ((x2 - sin(sin(x0 * -4.3362813))) / 4.72053))"
28,2.0163562,"((((x1 / 3.8467994) - x0) * 4.3737183) + ((x3 * 0.6171607) - ((x2 - (-0.19220297 - sin(x0 * 4.358651))) / 4.941721))) - (x0 - (x3 / -0.2263075))"
30,2.0158713,"((4.3737183 * ((x1 / 3.8467994) - x0)) + ((x3 * 0.6171607) - ((x2 - sin((x1 / 3.8467994) - (x0 * 4.358651))) / 4.941721))) - (x0 - (x3 / -0.2263075))"
