Complexity,Loss,Equation
1,8.930049,"x1"
3,6.099848,"x1 - x0"
5,4.8679457,"(x0 + x3) * -4.950311"
6,4.637566,"(x0 + sin(x3)) * -3.9812112"
7,3.1810064,"(x0 + (x3 * 0.7625451)) * -5.6172276"
9,2.0760665,"x1 + ((x3 / -0.24928525) + (x0 / -0.18155697))"
11,2.0712955,"(x0 / -0.18205856) - ((x1 * -1.071492) - (x3 / -0.25096416))"
13,2.0446892,"(x1 + (x0 / -0.18510284)) - ((x2 * 0.19110584) - (x3 / -0.25877503))"
15,2.0346267,"((x0 / -0.18622886) - (x1 * -1.1046613)) - ((x2 * 0.2128111) - (x3 / -0.2621585))"
17,2.034034,"(((x2 * -0.21163188) - (-0.021922052 - (x3 / -0.26140642))) + (x0 / -0.18573044)) - (x1 * -1.1035445)"
19,2.034033,"((((x0 / -0.22806327) - (-0.022408586 - (x3 / -0.26129934))) + (x2 * -0.21051644)) - (x1 * -1.1050744)) - x0"
20,2.0322478,"((x2 * -0.34480727) + ((x0 / -0.18646374) - (x1 * -1.1030289))) - ((sin(x2) * -0.20835969) - (x3 / -0.26265427))"
22,2.0156884,"((x0 / -0.18592711) - ((-0.18592711 * sin(x0 / -0.24104342)) - ((x3 / -0.26136982) + (x2 * -0.20389852)))) - (x1 * -1.1034381)"
23,2.0150046,"((x0 / -0.18592711) - ((sin(sin(x0 / -0.24104342)) * -0.209692) - ((x3 / -0.26136982) + (x2 * -0.20389852)))) - (x1 * -1.1034381)"
24,2.013626,"((x0 / -0.18591192) - ((sin((0.07534983 - x0) / 0.24266766) * -0.20587356) - (x3 / -0.2613124))) + ((x2 * -0.20203565) - (x1 * -1.1045175))"
25,2.0130644,"(x2 * -0.19296418) + (((x0 / -0.18519203) - (x1 * -1.0998915)) - ((sin(sin((0.06585448 - x0) / 0.24275456)) * -0.23781967) - (x3 / -0.2593816)))"
26,2.0127,"(((x0 / -0.18560906) - (x1 * -1.104786)) + (x2 * -0.20184973)) - ((sin(sin(sin((0.05975252 - x0) / 0.24228069))) * -0.26058394) - (x3 / -0.26074532))"
27,2.012472,"(((x0 / -0.18583432) - (x1 * -1.107144)) + (x2 * -0.20002697)) - (((sin(sin(sin(sin((0.05616778 - x0) / 0.24196193)))) * 0.07467432) - x3) / -0.2612156)"
28,2.0123277,"(((x0 / -0.18588354) - (x1 * -1.1071494)) + (x2 * -0.20002447)) - (((sin(sin(sin(sin(sin((0.053313956 - x0) / 0.24195562))))) * 0.07460816) - x3) / -0.26118279)"
29,2.0121732,"((x0 / -0.18559968) - (x1 * -1.1060523)) + ((x2 * -0.20082183) - ((sin(sin(sin(sin(sin(sin((0.055683237 - x0) / 0.2419448))))) * 0.07969547) - x3) / -0.2607059))"
30,2.0114403,"((x2 * -0.19231533) + ((x1 - ((x1 - (x3 * x2)) * -0.07809031)) + (x0 / -0.1850811))) - ((sin((0.076418675 - x0) / 0.24269883) * -0.21022741) - (x3 / -0.25946826))"
