Complexity,Loss,Equation
1,8.903224,"x1"
3,6.0574226,"x1 - x0"
5,5.2056756,"x1 - (x0 / 0.5200113)"
7,3.198797,"(x3 * -4.20768) - (x0 * 5.560335)"
9,2.0897803,"x1 + ((x0 * -5.4520497) - (x3 * 3.9459848))"
11,2.0848355,"(x3 * -3.9272702) - ((x0 * 5.4443264) + (x1 * -1.071439))"
13,2.049334,"((x2 * -0.21787518) + x1) - ((x0 - (x3 * -0.7081663)) * 5.323963)"
15,2.0385718,"((x2 * -0.23603335) - (x3 * 3.7276983)) - ((x1 * -1.1065423) + (x0 * 5.301782))"
17,2.0381875,"((0.01960033 - (x3 * 3.727827)) - (x2 * 0.23585303)) - ((x1 * -1.1067553) + (x0 * 5.301843))"
19,2.0369349,"((((0.00015697438 / x2) - (x2 * 0.06366204)) - x3) * 3.7250028) - ((x1 * -1.1061312) + (x0 * 5.3002515))"
20,2.0367022,"(((x0 - exp(x2 * 0.23216468)) - (x3 * 3.7297063)) + 1.0468259) - ((x1 / -0.9028517) + (x0 * 6.3051267))"
21,2.0357282,"(((0.0055192295 - (x2 * 0.06351837)) - x3) * 3.7252376) - ((x0 * 5.301851) + (((0.0007131576 / x2) + -1.1069899) * x1))"
22,2.0343647,"((0.10275928 - (x2 * 0.23678304)) - ((x3 + (cos(x0) * 0.037033677)) * 3.7303572)) - ((x1 * -1.106057) + (x0 * 5.3014207))"
23,2.0314958,"((((cos(x0 / sin(x3)) * -0.038324498) - (x2 * 0.06342967)) - x3) * 3.7268305) - ((x0 * 5.299649) + (x1 * -1.1087754))"
24,2.0300412,"((((cos(x0 / sin(sin(x3))) * -0.038324498) - (x2 * 0.06342967)) - x3) * 3.7268305) - ((x0 * 5.299649) + (x1 * -1.1087754))"
25,2.0286853,"(((cos(x0 / sin(x3)) * -0.044020955) + ((0.01521921 - (x2 * 0.063630275)) - x3)) * 3.7244077) - ((x1 * -1.1085107) + (x0 * 5.297651))"
26,2.028332,"((((cos(x0 / sin(sin(x3))) * -0.042321634) + (0.011378129 - (x2 * 0.06343066))) - x3) * 3.727623) - ((x0 * 5.300164) + (x1 * -1.1088743))"
27,2.0225809,"((((0.25089544 - x2) * 0.05584272) - (x3 + (sin(abs((x0 * 5.443182) + -1.7842895)) * 0.045831166))) * 3.7499733) - ((x1 * -1.1168752) + (x0 * 5.301693))"
