Complexity,Loss,Equation
1,8.586989,"x1"
3,5.846972,"x1 - x0"
5,4.757723,"(x0 + x3) * -4.836084"
6,4.5972934,"-3.8821762 * (sin(x3) + x0)"
7,3.1849272,"(x0 * -5.4796686) + (x3 * -4.1918554)"
9,2.0717795,"(x3 * -3.9260206) + (x1 + (x0 * -5.3907213))"
11,2.0659935,"((x0 * -5.383844) - (x1 * -1.0774994)) + (x3 * -3.9054341)"
13,2.0336437,"(x1 + ((x3 * -3.7626076) + (x0 * -5.268335))) - (x2 * 0.20960449)"
15,2.0228384,"((x0 * -5.2497716) + ((x2 * -0.22512256) + (x1 * 1.1068897))) + (x3 * -3.722109)"
17,2.0203948,"(x3 * -3.7219954) + ((x0 * -5.249687) - (((x2 * 0.22517827) + (x1 * -1.1069176)) + 0.049420327))"
18,2.020096,"(x3 * -3.7667482) + ((x0 * -5.289231) - ((exp(x2 + -2.1383793) + (x1 * -1.1021483)) - 0.14113112))"
19,2.018281,"(x3 * -3.7264829) + (((((x3 * -0.066974156) + -0.222388) * x2) + (x0 * -5.257185)) - (x1 * -1.108262))"
20,2.0144968,"(x3 * -3.7248237) + ((x0 * -5.254929) - (((exp(x2 + -3.6980913) + 0.15615262) * x2) + (x1 * -1.1073223)))"
22,2.0131536,"((x3 * -3.7229192) + (x0 * -5.2522087)) - (((x1 * -1.1066135) + (x2 * 0.17529187)) + exp((x2 + -2.6629207) * 1.9945506))"
23,2.0047064,"((x3 * -3.8208685) + ((x0 * -5.3221354) - ((x1 * -1.092438) + exp(x2 + -2.5206819)))) + (sin(x0 * -3.9267378) * 0.23073304)"
24,2.001962,"(((x3 * -3.7605891) + (x0 * -5.28154)) + exp(sin(x0 * -3.6048636) + -2.0461845)) - (exp(x2 + -2.0726168) + (x1 * -1.1026912))"
25,1.9973719,"(x3 * -3.7821033) + ((x0 * -5.2960434) - ((((x1 * -1.0992337) + -0.11682777) + exp(x2 + -2.1785676)) + (sin(x0 * -3.9156098) * -0.21656513)))"
26,1.9970992,"((-5.296431 * x0) - ((x1 * -1.0997318) + (exp(x2 + -2.172856) + -0.11828778))) + ((sin(sin(x0 * -3.909127)) * 0.21580547) + (-3.7822874 * x3))"
27,1.9966979,"((-5.296431 * x0) - ((x1 * -1.0997318) + (exp(x2 + -2.172856) + -0.11828778))) + ((sin(sin(x0 * -3.909127)) * abs(0.25399107)) + (-3.7822874 * x3))"
28,1.9966643,"((x3 * -3.7822611) - 0.022506006) + (((x0 * -5.2961464) - ((x1 * -1.0993845) + (exp(x2 + -2.1795921) + -0.1388754))) + (sin(sin(x0 * -3.9364905)) * 0.24908462))"
