Complexity,Loss,Equation
1,8.623988,"x1"
3,5.8485346,"x1 - x0"
5,4.888495,"(x0 + x3) * -4.88103"
6,4.570775,"(x0 + sin(x3)) * -3.951748"
7,3.190061,"(x0 * -5.549721) + (x3 * -4.212221)"
9,2.0681448,"((x3 * -3.9426143) + x1) + (x0 * -5.4305854)"
11,2.0622718,"((x1 * 1.0777829) + (x3 * -3.92155)) - (x0 * 5.421211)"
13,2.0203626,"(x3 * -3.7530966) + (x1 - ((x0 * 5.291469) - (x2 * -0.2359378)))"
15,2.0078218,"(((x1 * 1.115047) + (x3 * -3.7066858)) - (x0 * 5.266434)) - (x2 * 0.2549798)"
17,2.007716,"((((x3 * -3.7066953) + -0.010281708) - (x0 * 5.2664557)) - (x2 * 0.2550145)) + (x1 * 1.1150391)"
19,2.007253,"((x3 * -3.3661418) + ((x1 - (x0 * ((x2 * -0.024665691) - -4.7763443))) - (x2 * 0.22646989))) * 1.1058476"
20,2.0071158,"((x1 - ((x0 * 4.7265577) - (cos(x0) * -0.031792577))) + ((x3 * -3.3275461) - (x2 * 0.22899626))) * 1.1142507"
21,2.005268,"(((((x3 * -3.3250198) + x1) * 1.1157894) - (x0 * 5.2718935)) + 0.003597258) - ((0.25283945 - (x3 * -0.05105344)) * x2)"
22,1.9940159,"((x1 + ((x3 * -3.3409812) - (x0 * (4.745473 - (cos(x0 * 5.1862326) * 0.1532794))))) - (x2 * 0.22186418)) * 1.112442"
24,1.9905121,"(((x3 * -3.3265) + (x1 - (((cos((x0 + 1.762918) * 5.087449) * 0.16907509) - -4.7200646) * x0))) - (x2 * 0.22039711)) * 1.1168134"
26,1.9846833,"((x1 - ((cos(x1 - (1.278211 - (x0 * -4.397077))) * -0.21450765) - (x0 * -4.7513947))) + ((x3 * -3.3497994) - (x2 * 0.22795002))) * 1.1091516"
