Complexity,Loss,Equation
1,8.798369,"x1"
3,6.0455723,"x1 - x0"
5,4.804286,"(x3 + x0) / -0.2058775"
6,4.7644644,"(x0 + sin(x3)) / -0.25878304"
7,3.2428033,"(x3 * -4.215559) - (x0 * 5.5004144)"
9,2.0800893,"x1 - ((x0 * 5.399338) - (x3 * -3.9507773))"
11,2.0702338,"((x1 / 0.908316) - (x3 * 3.9239788)) - (x0 * 5.3890767)"
13,2.0418565,"(x1 + (((x0 * -1.3995364) - x3) / 0.26418108)) - (x2 * 0.19188395)"
15,2.022572,"((x1 * 1.140223) + (((x0 * -1.4085445) - x3) * 3.7222433)) - (x2 * 0.239865)"
17,2.0225706,"(x1 / 0.8774504) + ((((x0 * -0.40850317) - x0) - (x3 - (x2 * -0.064311944))) * 3.723847)"
19,2.0217342,"(x1 / 0.877422) + (((((x0 * -0.40855235) - x0) - x3) - ((x2 * 0.06433273) + -0.0077678375)) * 3.7235217)"
21,2.0194964,"((x1 - (x2 * 0.20424682)) / 0.87798256) + ((4.423022 - cos(cos(x3))) * (((x0 * -0.42075646) - x0) - x3))"
22,2.015536,"(x1 / 0.8820902) + (((4.504356 - cos(sin(exp(x3)))) * (((x0 * -0.40493992) - x0) - x3)) - (x2 * 0.23691863))"
23,2.0129557,"((4.4090056 - cos(cos(x0 * x0))) * (((x0 * -0.42220986) - x0) - x3)) + ((x1 - (x2 * 0.20552646)) / 0.8771637)"
25,2.0098696,"(((4.4985356 - cos(sin((x3 + 4.503557) - x0))) * (((x0 * -0.40529364) - x0) - x3)) - (x2 * 0.23455124)) + (x1 / 0.8827883)"
27,2.0056674,"(x1 / 0.8821319) + ((4.443573 - cos(sin(-1.3679043 - (x3 - x0)) + -0.17381403)) * ((((x0 * -0.41772842) - x0) - x3) - (x2 * 0.06100194)))"
28,2.005422,"(x1 / 0.88085896) + (((4.2284327 - (abs(cos(exp(sin(sin(x3) - x0)))) * 0.7191813)) * (((x0 * -0.4018838) - x0) - x3)) - (x2 * 0.23648655))"
29,2.0023568,"(x1 / 0.8803924) + (((4.107093 - abs(sin(x3) * cos(exp(sin(sin(x3) - x0))))) * (((x0 * -0.4066561) - x0) - x3)) - (0.23838265 * x2))"
30,2.0014024,"(x1 / 0.8803924) + (((4.107093 - abs(cos(exp(sin(sin(x3) - x0))) * sin(sin(x3)))) * (((x0 * -0.4066561) - x0) - x3)) - (0.23838265 * x2))"
